# This file contains the data of all generations.
# of objectives = 2, # of constraints = 1, # of real_var = 48, # of bits of bin_var = 0
# gen = 1
   4.098019   0.001809		-457.123484
   4.085871   0.001621		-454.378520
   4.469828   0.001702		-453.745504
   3.785781   0.001647		-434.715129
   4.220402   0.001739		-425.113810
   3.696774   0.001760		-429.685771
   2.782586   0.001590		-416.974833
   2.862685   0.000950		-236.744573
# end gen = 1
# gen = 2
   4.082217   0.001258		-171.180745
   3.862451   0.001336		-197.856659
   4.767827   0.001467		-207.323629
   2.862685   0.000950		-236.744573
   5.114068   0.001490		-243.171778
   3.504406   0.001433		-263.432770
   4.097600   0.001020		-271.828328
   2.531755   0.001112		-338.459417
# end gen = 2
# gen = 3
   4.082217   0.001258		-171.180745
   3.862451   0.001336		-197.856659
   4.767827   0.001467		-207.323629
   3.893254   0.001264		-235.145101
   2.862685   0.000950		-236.744573
   5.114068   0.001490		-243.171778
   5.416286   0.001687		-243.620275
   5.416339   0.001687		-243.653498
# end gen = 3
# gen = 4
   4.082217   0.001258		-171.180745
   4.649487   0.001434		-178.728429
   3.862451   0.001336		-197.856659
   5.319177   0.001577		-206.246923
   5.235162   0.001528		-206.864619
   4.767827   0.001467		-207.323629
   5.296283   0.001514		-208.560516
   5.335588   0.001634		-216.365512
# end gen = 4
# gen = 5
   4.082217   0.001258		-171.180745
   4.649487   0.001434		-178.728429
   5.047367   0.001507		-190.566933
   3.862451   0.001336		-197.856659
   5.319177   0.001577		-206.246923
   5.235162   0.001528		-206.864619
   5.235162   0.001528		-206.864619
   4.767827   0.001467		-207.323629
# end gen = 5
# gen = 6
   5.016042   0.001470		-163.201808
   4.082217   0.001258		-171.180745
   4.649487   0.001434		-178.728429
   5.047367   0.001507		-190.566933
   5.047367   0.001507		-190.566933
   5.055530   0.001528		-194.671972
   3.862451   0.001336		-197.856659
   5.319177   0.001577		-206.246923
# end gen = 6
# gen = 7
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.016042   0.001470		-163.201808
   4.082217   0.001258		-171.180745
   5.170462   0.001520		-174.652407
   4.649487   0.001434		-178.728429
   5.047367   0.001507		-190.566933
   5.047367   0.001507		-190.566933
# end gen = 7
# gen = 8
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017564   0.001470		-161.578311
   5.016042   0.001470		-163.201808
   5.016042   0.001470		-163.201808
   4.807123   0.001456		-168.320455
# end gen = 8
# gen = 9
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
# end gen = 9
# gen = 10
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
# end gen = 10
# gen = 11
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
# end gen = 11
# gen = 12
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
# end gen = 12
# gen = 13
   5.020291   0.001479		-151.158938
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
# end gen = 13
# gen = 14
   5.020291   0.001479		-151.158938
   5.020291   0.001479		-151.158938
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
   5.017294   0.001470		-161.500956
